대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL)
,,,,의료급여사업_의료급여 제한 사유,의료급여사업 중 의료급여 제한 사유 알려주세요,의료급여사업 중 의료급여 제한 사유 알고싶어요 ,"교통사고 (오토바이, 경운기, 자동차 등), 산업재해, 폭행, 구타, 본인의 고의 또는 중대한 과실 (자살시도) 등으로 인한 병원진료는
의료급여 적용이 제한되며 의료급여증 대여(타인), 의약품 판매행위등 적발시에는 급여중지 및 법적 처벌을 받게됩니다.

문의
자활의료담당자 041-930-3367, 041-930-3366, 041-930-3369",
,,,,지역사회서비스투자사업_일반,지역사회서비스투자사업에 대해 알려줘,지역사회서비스 투자사업에 대해 알고싶어요  ,"사회서비스바우처는 노인, 장애인, 아동 등 사회서비스를 필요로 하는 사람들에게 일종의
이용권(카드)을 발급하여 서비스를 받을수 있도록 하는 제도입니다",
,,,,지역사회서비스투자사업_신청절차,지역사회서비스투자사업_신청절차를 알려주세요,"지역사회서비스 신청권자는 누구에요?
지역사회서비스 신청기간은 언제에요?
지역사회서비스 신청방법 알려줘","신청절차
신청권자는 사회복지서비스를 필요로 하는 자와 그 친족 그 밖의 관계인 입니다.
신청기간은 연중 (수시)입니다.  ※ 예산 소진시 조기 마감될수 있습니다.
신청방법은 거주지 읍 · 면 · 동 주민센터 직접방문 신청
제출서류는 관련신청서 및 안내동의서 등 관련 증빙서류",
,,,,지역사회서비스투자사업_지원내용,지역사회서비스투자사업_지원내용을 알려주세요,지역사회서비스투자사업_지원내용은 뭐야?,"아동 · 청소년 심리지원서비스 (아동심리케어)
아동비전형성지원 서비스
장애인 · 노인을 위한 돌봄여행서비스
시각장애인 안마서비스
장애인보조기기렌탈
정신건강토탈케어서비스
보행불편노인을 위한 보행보조기렌탈서비스
가사 · 간병 방문지원사업

문의
복지기획담당자 041-930-3361",
,,,,행복키움지원_일반,행복키움지원이 뭐에요?,행복키움지원 서비스에 대해 알려줘,"행복키움지원 서비스는 지역사회 공공 · 민간자원의 협력을 토대로 나눔문화를 확산하고 복지, 보건, 고용, 주거, 교육 등
필요한 서비스를 통합적으로 제공하는 맞춤형 복지서비스입니다.",https://www.brcn.go.kr/welfare/sub01_05.do
,,,,행복키움지원_행복키움지원단 시스템,행복키움지원단 시스템이 뭐에요?,행복키움지원 시스템에 대해서 알려줘 ,"
<이미지참고>행복키움지원_행복키움지원단 시스템
https://www.brcn.go.kr/images/specific/welfare/sub1/sub01_06_img02.gif
",https://www.brcn.go.kr/welfare/sub01_06.do
,,,,행복키움지원_서비스 제공 절차,행복키움지원이 서비스 제공 절차를 알려주세요,"행복키움지원 사례관리가구는?
행복키움지원 서비스 연계가구는?
행복키움지원 서비스 처리기한 알려줘","읍 · 면 · 동에서 초기상담 실시 이후 의뢰된 대상자에 대해 모두 욕구조사를 실시하고, 그 결과를 토대로 내부사례회의를 통해 사례관리, 서비스연계가구로 구분 적용합니다.

✔사례관리가구 : 1개월 이상의 중장기적 개입이 필요한 가구
✔서비스연계가구 : 욕구가 단편적이어서 1개월 미만의 단기적 개입이 가능한 가구
✔서비스 처리기한 : 대상자 접수일로부터 30일내 서비스제공계획 수립",https://www.brcn.go.kr/welfare/sub01_07.do
,,,,보훈_참전명예수당 및 생일축하금,보훈_참전명예수당 및 생일축하금에 대해 알고싶어,"보훈_참전명예수당 및 생일축하금 신청방법에 대해 알려줘
보훈_참전명예수당 및 생일축하금 지원대상은?
보훈_참전명예수당 및 생일축하금 지급시기는?
보훈_참전명예수당 및 생일축하금 지원금액은?","신청방법 : 거주지 읍 · 면 · 동 사무소
지원대상 : 「참전유공자예우 및 단체설립에 관한 법률」 제2조 제2호 및 4호에 따라 국가보훈처에 등록된 참전 유공자로 현재 보령시에 주소를 둔 사람
지급시기 : 신청이 있는 달부터 매월 말일 지급
지원금액 : 월 15만원 내 지급(참전명예수당 10만원, 생일축하금 5만원)
※ 참전유공자 사망시 장제보조비 15만원 지급",
,,,,보훈_보훈명예수당,보훈_보훈명예수당에 대해 알려줘,"보훈_보훈명예수당 신청방법 알려줘
보훈_보훈명예수당 지원대상은?
보훈_보훈명예수당 지급시기는?
보훈_보훈명예수당 지원금액은?","신청방법 : 거주지 읍 · 면 · 동 사무소
지원대상 : 국가유공자 등 예우 및 지원에 관한 법률 제4조의제1항제1호부터 제3호까지에 해당하는 순국선열, 애국지사,
전몰군경 및 유족 (국가보훈처에서 발급한 유족증 소지자) 로 신청일 현재 보령시에 주민등록이 되어있는 자. 단 현 유족증 소지자가
사망 시 승계받은 유족 1명에게만 수당이 지급되며 다른 유족에게 이전되지 아니함
지급시기 : 신청이 있는 달부터 매월 말일 지급
지원금액 : 월 5만원",
,,,,보훈_보훈단체현황,보훈단체 현황에 대해 알려줘,보훈_보훈단체현황은?,"https://www.brcn.go.kr/welfare/sub01_07.do
보훈단체현황 <표>",
,,,어르신,노인복지지원_ 일반(설명+지급대상),노인복지지원에 대해서 알려줘,"노인복지지원이 뭐에요?
기초연금제도가 뭐에요?
노인복지지원 지급대상은 뭐에요?","기초연금제도
만 65세 이상 노인 중 소득과 재산이 적은 70%의 노인에게 매달 일정액의 연금을 지급하여 안정적인 소득기반을 제공함으로써
노인의 생활 안정을 지원하고 복지를 증진 (2014년 5월 20일 기초연금법 제정)

지급대상
만65세 이상이며, 소득 · 재산 조사 결과 소득인정액이 선정기준액 이하인 어르신
※ 소득인정액 : 월 소득평가액 + 재산의 소득환산액
※ 2018년 선정기준액 : 단독 131만 / 부부 209.6만",
,,,,노인복지지원_연금액선정 및급여기준,노인복지지원 연금액 선정에 대해 알려주세요,"노인복지지원 연금액 선정이 뭐에요?
노인복지지원 연금액 지급 알려주세요
노인복지지원 연금액 선정 및 급여기준을 알려주세요","연금액
신청자의 소득인정액과 국민연금의 유형에 따라 지급액을 결정
신청에 근거하여 공적자료에 의한 소득재산 조사를 거쳐야 정확한 기초연금 지급액을 알 수 있음
단독가구 (1인) 부부가구 (2인)
2 ~ 20만원 차등 지급 4 ~ 32만원 차등 지급
선정 및 급여 기준
대상자 선정 (소득인정액 산정) 은 가구단위 (부부합산) 로, 급여 지급 (기초연금액 산정) 은 개인단위",
,,,,"
노인복지지원_신청방법,신청기간,구비서류 기타 문의 및 안내",노인복지지원 신청방법에 대해서 알려주세요,"노인복지지원 신청방법은?
노인복지지원 신청은 누가하나요?
노인복지지원 신청기간은?
노인복지지원 구비서류는?
노인복지지원 문의번호 알려주세요","


신청방법
방문신청 : 주소지 동 주민센터 또는 국민연금공단지사
온라인신청 : 복지로 (http://online.bokjiro.go.kr) 로 집에서 신청
(본인, 배우자, 동일주소 자녀가 신청할 수 있으며 신청자 및 배우자, 대리신청자의 공인인증서 필요)
신청기간
만65세 (1953년생) 생일이 속하는 달의 1개월 전부터 신청 · 접수 가능
구비서류
신분증, 연금 지급대상자 명의 통장, 신청서, 금융정보제공동의서, 소득재산신고서 등 (대리 신청시 대리인의 신분증, 위임장 등을 추가로 제출)
기타 문의 및 안내
사회복지과 노인복지 담당 041-930-3317 기초연금제도 연금액",
,,,,노인복지시설,노인복지시설에 대해 알려줘,"노인복지시설은 뭐야?
노인복지시설 위치 알고싶어
노인복지시설 무슨일해?","노인요양시설 및 요양공동생활가정
복지용구제공사업소
방문간호
방문요양
주야간보호
방문목욕
https://www.brcn.go.kr/welfare/sub07_02.do
<위치,번호,표참고>",
,,,,노인사회활동지원_일반,노인사회활동지원에 대해 알고싶어요,"노인사회활동지원 신청 대상은?
노인사회활동지원 모집방법은?
노인사회활동지원근무기간 및 여건은?","신청대상 및 모집방법
만65세 이상 기초연금 수급권자로 근로 능력 있는 어르신
수행기관별 모집 (2월중), 인원부족시 수시모집
근무 기간 및 여건
9개월 (3 ~ 11월), 20만원, 월 30 ~ 35시간, 주 2 ~ 3회 근무",
,,,,노인사회활동지원_사업내용 및 사업효과,노인사회활동지원_사업내용 및 사업효과가 알고싶어요,"노인사회활동지원 사업내용 알려줘
노인사회활동지원  사업효과 알려줘","사업내용
공익활동
전국형 (4개 프로그램) : 저소득 재가노인의 안정적 생활유지 서비스 제공 (주요사업 : 어르신 안부묻기, 말벗서비스,
도시락배달서비스 등)
지역형 : 지역특성에 맞게 필요한 공공사업 발굴 및 사업추진 (주요사업 : 아동안전보호, 초등학교 급식도우미, 지역사회 환경개선, 어르신강사파견, 노인확대예방, 아동 · 청소년 보호지원 등 )
취업활동
인력파견형 : 수요처와 연계하여, 필요한 인력 파견 (주요사업 : 잔디식재 등 인력파견 등)
창업활동
공동작업형 : 영농사업으로 작물, 화훼재배를 통한 수익창출 (주요사업 : 황금분재원, 지역영농사업 등)
제조판매형 : 제조판매를 통한 수익창출 (주요사업 : 누룽지 판매 )
사업효과
노인의 능력과 적성에 맞는 사회적 일자리를 창출하여 노인의 건강유지, 사회참여 확대, 소득보장 등 노인복지향상으로
고령사회에 적극 대비",
,,,여성/가족,노인사회활동지원_사업수행기관,노인사회활동지원_사업수행기관은 뭐야?,노인사회활동지원_사업수행기관 번호 알려줘,"사업수행기관 (4개소)
보령시 사회복지과 (읍 ‧ 면 ‧ 동), 대한노인회보령시지회 (041-931-2968), 보령노인종합복지관 (041-931-7677),
보령효나눔센터 (041-931-8491)",
,,,,무연분묘 개장공고,무연분묘 개장공고 알려줘,무연분묘 공고사항 알려줘,https://www.brcn.go.kr/cop/bbs/BBSMSTR_000000000682/selectBoardList.do,
,,,,여성권익증진사업,여성권익증진사업에 대해 알려줘,"여성자치대학 운영 시기 알려줘
여성 발명 창의교실 운영시기 알려줘
 여성친화 아카데미 운영 시기 알려줘
여성주간 기념행사 시기 알려주세요
","여성의 능력개발과 사회참여 확대 사업
여성자치대학 운영: 6 ~ 8월 (10회) / 道와 연계
여성 발명 창의교실 운영: 3월 중 / 35명
여성친화 아카데미 운영: 연 3회 / 450명
여성주간 기념행사 : 7월 중 / 800명
여성 리더의 품격 UP 교육: 1회 / 50명",https://www.brcn.go.kr/welfare/sub03_01.do
,,,,다문화가족지원_다문화가족지원센터 및 주요사업 현황,다문화가족지원_다문화가족지원센터 및 주요사업 현황을 알려주세요,"다문화가족지원_다문화가족지원센터 및 주요사업 현황
","센터현황
보령시 보령시 주공로 50(명천동) 041-936-8506
주요사업
센터 운영 교육사업
한국어교육 : 1~4단계 및 특별반 운영
방문교육 : 한국어교육·부모교육·자녀생활 서비스
다문화가족통합교육 :
가족교육, 배우자·부부교육, 부모자녀교육, 다문화이해교육 등
다문화가족취업연계 및 교육지원
상담사업
상담 및 사례관리
문화사업
다문화가족 나눔봉사단, 다문화가족 자조모임
홍보 및 정보 제공
다문화 인식개선 및 지역사회 홍보, 지역사회 네트워크 강화
특성화사업
통번역서비스 : 중국어, 베트남어, 필리핀어, 러시아어
언어발달지원 : 언어평가 및 교육이 필요한 다문화가족 자녀(만12세 이하)",https://www.brcn.go.kr/welfare/sub03_02.do
,,,,다문화가족지원_보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원,다문화가족지원_보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원 대상과 지원금액 알려주세요,"보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원 대상은?
보령시 미혼자 국제결혼과 정착을 통한 다문화가정 지원 금액은?","대상
만35세이상 만50세이하인 농업인 및 어업인 중 국제결혼일 3년이상 전부터 계속 관내 거주자(지원대상일로부터 6개월이내 신청)
지원금액
결혼지원금 100만원
첫째 아이를 출산시 정착지원금 200만원
둘째 아이를 출산시 정착지원금 200만원",https://www.brcn.go.kr/welfare/sub03_03.do
,,,,한부모가족지원_지원대상,한부모가족지원_지원대상을 알려줘,"한부모가족지원_지원대상은?
한부모가족지원_한부모(모 · 부자) 가족 조건은
한부모가족지원_조손가족의 조건은
한부모가족지원_청소년 한부모가족의 조건은","다음에 해당하는 세대주인 모(母) 또는 부(父)와 만 18세미만(취학 시 만 22세 미만)의 자녀로 이루어진 가정으로서, 2017년 선정기준(소득인정액 기준)을 충족한 자
※ 2012년도부터는 한부모가족에 만18세(취학 시 만22세) 이상의 자녀가 있을 경우에는 그 자녀를 제외한 나머지 가족구성원을 보호함.

※ 지원아동의 나이가 만 18세(취학 시 만22세, 군복무후 취학시 병역의무기간을 가산한 연령)가 도달하는‘연도말’ 까지 지원

한부모(모 · 부자) 가족
배우자와 사별 또는 이혼했거나(이혼소송 중인 자는 제외) 배우자로부터 유기된 자
정신 또는 신체장애로 인하여 6개월 이상 장기간 근로(노동)능력을 상실한 배우자를 가진 자
(경제활동으로 소득이 있는 경우는 제외, 공적자료로 파악)
미혼모 또는 미혼부 (사실혼 관계에 있는 자는 제외)
배우자의 생사가 분명하지 않은 자
※ 배우자의 실종선고 절차가 진행중인 자, 관할 시군구청장이 가출 또는 행방불명 사실을 확인한 경우(거주 불명등록자, 주민등록 직권말소 등)
가정폭력 등에 의한 배우자 또는 배우자 가족과의 불화 등으로 인하여 가출한 자
배우자의 군복무로 인하여 부양을 받을 수 없는 자
배우자의 장기복역으로 인하여 부양을 받을 수 없는 자
국내에 체류하고 있는 외국인(출입국관리법 제31조에 따른 외국인 등록을 마친 자) 중 대한민국 국민과 혼인 하여 대한민국 국적의 아동을 양육하고 있는 경우로서 위의 조건을 갖춘 자
(미혼모 또는 미혼부 제외)
조손가족
부모로부터 부양을 받지 못하는 아동과 그 아동을 양육하는 (외)조부 또는 (외)조모
청소년 한부모가족
한부모가족(모 · 부자가족)의 조건을 갖춘 경우로써 모 또는 부의 연령이 만 24세 이하인 가족
*2017년도 지원대상 연령은 1992년1월1일 이후 출생한 한부모",https://www.brcn.go.kr/welfare/sub03_00.do
,,,,한부모가족지원_2017년 선정기준(소득인정액 기준),한부모가족지원 _ 선정기준은?(소득인정액 기준),한부모가족지원_ 선정기준 알려줘 ,"구분 2인 3인 4인 5인 6인
한부모 및 조손가족
(기준중위소득의 52%) 1,463,513 1,893,276 2,323,038 2,752,799 3,182,562
청소년 한부모가족
(기준 중위소득의 60%) 1,688,669 2,184,549 2,680,428 3,176,307 3,672,187
<참고> 생계급여 수급자
(기준 중위소득의 30%) 844,335 1,092,274 1,340,214 1,588,154 1,836,093",https://www.brcn.go.kr/welfare/sub03_01.do
,,,,한부모가족지원_지원내용,한부모가족지원_지원내용은?,"한부모가족지원_한부모가족 지원내용을 알려줘
한부모가족지원 <ㅇㅇㅇ>알려줘
-아동양육비,추가아동양육비,월동비,자녀학비,자녀학습지원비,학용품비,교복지원비
한부모가족지원_청소년 한부모가족 지원내용을 알려줘
청소년 한부모 가족지원<ㅇㅇㅇ> 알려줘
-지급시기, 지원액,지급대상,지원계획","한부모가족 (‘부’ 또는 ‘모’의 연령이 만 25세 이상인 경우)
청소년 한부모가족 (‘부’ 또는 ‘모’의 연령이 만 24세 이하인 경우)
아동양육비 만 13세미만 아동
※ 2004년1월1일 이후 출생아동 자녀 1인당 월 120,000원
※신규책정자의 경우 신청월로 소급지원 매월 20일
추가아동양육비 만 5세이하 아동
(25세이상 미혼한부모, 조손가족)
※ 2011년1월1일 이후 출생아동 자녀 1인당 월 50,000원
※신규책정자의 경우 신청월로 소급지원 매월 20일
월동비 가구별 가구당 연 300,000원 10월말
자녀학비 고등학교 재학중인 자녀 입학금 및 수업료 지원
(학적조회후 학교별 은행계좌 입금)
※ 나머지 금액은 교육청에서 지원 3,6,9,12월
(말일)
자녀학습지원비 초 · 중 · 고등학교 재학중인 자녀
초등학생 연 200,000원
중학생 연 300,000원
고등학생 연 400,000원
반기별
학용품비 중 ·고등학교 재학중인 자녀 연 1회 / 54,100원 지원 연중
교복지원비
(보령시 시책) 중 ·고등학교 신입생
동복 250,000원 지원
하복 150,000원 지원
반기별",https://www.brcn.go.kr/welfare/sub03_02.do
,,,,한부모가족지원_기타 지원내용,한부모가족지원_한부모가족 주거지원 내용을 알려줘,"한부모가족 주거지원 알려줘
한부모가족 주거지원 내용은 뭐가있어?","한부모가족 주거지원
영구임대주택, 기존주택 매입임대주택, 영세민 전세임대주택 입주 신청에 “무주택 저소득 한부모 가족”은 1순위로 신청 가능
자동차 검사 수수료 감면
교통안전공단 자동차 정기 및 종합검사 수수료 50% 감면
무인민원 발급기에서 한부모가족 증명서 발급 가능
이동통신요금 감면혜택 (기본료 및 통화료의 35% 감면됨)
⇒ “복지전화신청용수급자증명서” 발급 후 통신사에 방문 제출, 1가구당 총 4명까지 가능
건강보험료 지원
지역가입자 해당, 부과소득 및 재산기준에 따라 월 보험료 10~30% 경감
⇒ 국민건강보험공단에 “한부모가족 증명서” 제출
전기요금 할인
차상위계층(한부모가족 해당)은 월 최대 2,000원 감면 (☎ 국번없이 123에 문의)
취업성공패키지
고용노동부 사업, 취업상담 및 연계, 교육 등
⇒ 고용노동부 ☎ 1350 문의
자녀양육비 및 친자확인인지청구 소송지원사업
여성가족부가 소송비용 전액 지원 (문의전화 : ☎ 국번없이 132)
차상위 양곡할인혜택(주소지 읍·면·동주민센터 신청)",https://www.brcn.go.kr/welfare/sub03_03.do
,,,,한부모가족지원_관련 사업안내,한부모가족지원_관련 사업을 알려줘,"한부모가족지원_관련 사업중 양육비이행관리원이 뭐야?
한부모가족지원_관련 사업중 한부모가족 자녀양육비 이행확보 무료법률지원사업은 뭐야?","양육비이행관리원 (여성가족부 산하)
지원내용 : 복잡한 절차와 많은 비용으로 양육비를 포기한 양육부 · 모들의 어려움을 덜어내고, 자녀양육비 확보를 위하여 정부에서 양육비 이행 원스톱 종합서비스를 제공
양육비 관련 상담 및 협의성립 지원
양육비 청구 및 이행확보 등을 위한 법률지원
합의 또는 법원의 판결에 의하여 확정된 양육비 채권 추심지원
양육비 채무 불이행자에 대한 제재조치
한시적 양육비 긴급지원 (문의전화 ☎ 1644-6621 / 홈페이지 : www.childsupport.or.kr)
한부모가족 자녀양육비 이행확보 무료법률지원사업 (여성가족부)
지원내용 : 자녀를 양육하는 모(또는 부)가 이혼 이후 자녀를 양육하지 않는 전 배우자로부터 양육비를 지급 받을 수 있도록 자녀양육비 청구 및 이행확보(강제집행, 압류, 전 배우자의 봉급에서 징수 등)을 위하여 자녀 양육비 이행확보 무료법률지원사업 실시
문의
대한법률구조공단( www.Klac.or.kr , ☎ 국번없이 132)
한국가정법률상담소( www.lawhome.or.kr , ☎ 국번없이 1644-7077)
대한변호사협회( www.legalaid.or.kr , ☎ 02-3476-6515)",
