대분류,중분류,소분류,질문명,대표질문,유사표현,답변,답변 출처 (URL),비고
복지/보건,전체 복지정보,의료급여사업,건강생활 유지비 지원내용,의료급여사업 건강생활유지비 지원내용을 알려주세요,"건강생활유지비 지원내용
건강생활유지비가 뭐야","[건강생활유지비]
지원대상 : 의료급여 1종 수급권자
지원내용 : 본인이 외래진료를 받는 경우 본인부담금으로 사용할 수 있도록 비용 일부 지원
지원금액 : 1인당 매달 6천원 (건강보험공단 가상계좌 매월 1일 입금)",https://www.brcn.go.kr/welfare/sub01_04.do,
복지/보건,전체 복지정보,의료급여사업,의료급여사업_장애인보장구 지원내용,의료급여사업 장애인보장구 지원내용 알려줘,"장애인보장구 지원
장애인보장구 구매 지원","[장애인보장구]
지원대상 : 의료급여수급권자 중 장애인복지법에 등록한 장애인
지원품목 : 의지, 보조기, 보청기, 수동휠체어, 전동스쿠터, 전동휠체어 등
지원금액 : 1종, 2종 (기준액 범위 내에서 구입가 전액)
신청서류 : 보장구처방전 (거주지 동일 시 · 도내 의료급여기관 발급), 보장구급여신청서",https://www.brcn.go.kr/welfare/sub01_04.do,
복지/보건,전체 복지정보,의료급여사업,의료급여사업_임신 · 출산 진료비 지원내용,의료급여사업 임신 진료비 지원내용 알려줘  ,"의료급여사업 출산 진료비 지원내용 알려줘
임신 진료비 지원받을 수 있는 거 알려줘
출산 할 때 금액 지원","[임신 · 출산 진료비]
지원대상 : 의료급여수급권자 중 임신이 확인된 자
지원내용 : 보장기관에서 임신․출산 진료비 지원을 결정한 날부터 ~ 출산 예정일 + 60일
지원금액 : 1,2종 구분 없이 50만원 (기간 내에 사용하지 못한 잔액은 소멸)
신청서류 : 의료급여 임신·출산 진료비 지원 (변경) 신청서 1부, 임신사실증명서 (의사 소견서) 1부",https://www.brcn.go.kr/welfare/sub01_04.do,
복지/보건,전체 복지정보,의료급여사업,의료급여사업_노인틀니 지원내용,의료급여사업 노인 틀니 지원내용 알려줘,"노인들 틀니할때 지원받을 수 있는거 알려줘
틀니 지원받으려면 어떻게 해야돼","[노인틀니지원]
지원대상 : 만70세 이상 의료급여 수급권자
적용대상 : 레진상, 금속상 완전틀니, 클라스프 부분틀니,사전 임시틀니, 사후 유지관리
적용횟수 : 7년 주기로 1회 적용, 중복급여 금지
지원금액 : 의료급여비용 총액의 1종수급권자는 80%, 2종수급권자는 70%
신청서류 : 의료급여 틀니 대상자 등록 신청서",https://www.brcn.go.kr/welfare/sub01_04.do,
복지/보건,전체 복지정보,의료급여사업,의료급여사업_의료급여 제한 사유,의료급여사업 중 의료급여 제한 사유 알려주세요,의료급여사업 중 의료급여 제한 사유 알고싶어요 ,"[의료급여 제한 사유]
교통사고 (오토바이, 경운기, 자동차 등), 산업재해, 폭행, 구타, 본인의 고의 또는 중대한 과실 (자살시도) 등으로 인한 병원진료에 대해서는
의료급여 적용이 제한되며 의료급여증 대여(타인), 의약품 판매행위등 적발시에는 급여중지 및 법적 처벌을 받게됩니다.

[문의]
자활의료담당자 041-930-3367, 041-930-3366, 041-930-3369",,
복지/보건,전체 복지정보,지역사회서비스투자사업,사업 내용 안내,지역사회서비스투자사업에 대해 알려줘,"지역사회서비스 투자사업에 대해 알고싶어요  아동 사회 서비스  바우처 종류
노인 사회 서비스  바우처 서비스
청소년 사회 서비스  바우처 종류
사회 서비스  바우처 알려줘
사회 서비스  바우처 종류 어떻게 할 수 있어?
사회 서비스  바우처 사업 받고 싶어
사회 서비스  바우처 종류 알려줘
사회 서비스  바우처 사업 알려줘
아동 사회 서비스  바우처 서비스
장애인 사회 서비스  바우처 사업
청소년 사회 서비스  바우처 사업
사회 서비스  바우처 서비스 어떻게 할 수 있어?
사회 서비스  바우처 어떻게 할 수 있어?
사회 서비스  바우처 종류 받고 싶어
사회 서비스  바우처 서비스 받고 싶어
사회 서비스  바우처 사업 어떻게 할 수 있어?
노인 사회 서비스  바우처 사업
장애인 사회 서비스  바우처 서비스
사회 서비스  바우처 받고 싶어
청소년 사회 서비스  바우처 서비스
아동 사회 서비스  바우처 사업
노인 사회 서비스  바우처 종류
사회 서비스  바우처 서비스 알려줘
장애인 사회 서비스  바우처 종류","[사회서비스바우처]
노인, 장애인, 아동 등 사회서비스를 필요로 하는 사람들에게 일종의 이용권(카드)을 발급하여 서비스를 받을수 있도록 하는 제도입니다.

[사회서비스바우처 종류]
-아동 · 청소년 심리지원서비스 (아동심리케어)
-아동비전형성지원 서비스
-시각장애인 안마서비스
-장애인보조기기렌탈",,o
복지/보건,전체 복지정보,지역사회서비스투자사업,지역사회서비스투자사업_신청절차,지역사회서비스투자사업 신청절차를 알려주세요,"지역사회서비스 신청권자는 누구에요?
지역사회서비스 신청기간은 언제에요?
지역사회서비스 신청방법 알려줘","[신청권자]
사회복지서비스를 필요로 하는 자와 그 친족 그 밖의 관계인

[신청기간]
연중 (수시)
 ※ 예산 소진시 조기 마감될수 있습니다.

[신청방법]
거주지 읍 · 면 · 동 주민센터 직접방문 신청

[제출서류]
관련신청서 및 안내동의서 등 관련 증빙서류",,
복지/보건,전체 복지정보,지역사회서비스투자사업,아동심리케어 서비스_지원내용,아동심리케어 서비스 지원내용은 뭐야?,"ADHD 아동 지원 서비스 있어?
아동심리케어 서비스 알려줘
청소년 심리 지원 서비스 알려줘
문제 행동 아이 심리 케어 서비스 알려줘아동 심리케어 서비스 정서 행동 장애 받고 싶어
비장애 문제 행동 아동 아동 심리케어 서비스 문제행동 케어
아동 심리케어 서비스 정서 행동 장애 어떻게 할 수 있어?
아동 심리케어 서비스 문제행동 케어 알려줘
아동 심리케어 서비스 ADHD 조기 발견 어떻게 할 수 있어?
비장애 문제 행동 아동 아동 심리케어 서비스 ADHD 조기 발견
아동 아동 심리케어 서비스 정서 행동 장애
청소년 아동 심리케어 서비스 문제행동 케어
청소년 아동 심리케어 서비스
청소년 아동 심리케어 서비스 정서 행동 장애
아동 심리케어 서비스 정서 행동 장애 알려줘
아동 심리케어 서비스 알려줘
청소년 아동 심리케어 서비스 ADHD 조기 발견
비장애 문제 행동 아동 아동 심리케어 서비스 정서 행동 장애
비장애 문제 행동 아동 아동 심리케어 서비스
아동 심리케어 서비스 어떻게 할 수 있어?
아동 심리케어 서비스  받고 싶어
아동 아동 심리케어 서비스 문제행동 케어
아동 심리케어 서비스 받고 싶어
아동 아동 심리케어 서비스
아동 심리케어 서비스 문제행동 케어 어떻게 할 수 있어?
아동 아동 심리케어 서비스 ADHD 조기 발견
아동 심리케어 서비스 문제행동 케어 받고 싶어
아동 심리케어 서비스  알려줘
아동 심리케어 서비스  어떻게 할 수 있어?
아동 심리케어 서비스 ADHD 조기 발견 알려줘
아동 심리케어 서비스 ADHD 조기 발견 받고 싶어","[아동 · 청소년 심리지원서비스 (아동심리케어)]
문제행동(ADHD)의 조기발견과 개입을 통하여, 문제행동을 감소시키고, 정서행동장애로의 발전을 막아 정상적 성장 지원

[지원 대상]
-기준중위소득 140%이하
-만18세이하
-비 장애 문제행동아동

[서비스 내용]
-월 4회 (주 1회 50분)
-문제행동아동에 대한 심리상담, 음악, 미술,놀이, 언어치료

[서비스가격 / 기간]
정부지원금 112 ~ 144천원, 본인부담금 16 ~ 48천원/12개월

[문의]
복지기획담당자 041-930-3361",,o
복지/보건,전체 복지정보,지역사회서비스투자사업,아동비전형성지원 서비스_지원내용,아동비전형성지원 서비스 지원내용은 뭐야? ,"아이들 비전 만들기 지원 서비스 알려줘
아동 비전형성 지원 서비스에 대해 궁금합니다.","[아동비전형성지원 서비스]
아동시기의 체계적인 교육․ 문화활동 및 자기주도향상 프로그램을 통해 긍정적인식과 미래비전을 형성하고, 책임감 있는 사회구성원으로 성장하도록 지원

[지원 대상]
-기준중위소득 120%이하
-만7세 ~ 만12세

[서비스 내용]
-월 4회 (1:1 회당 60분, 1:2 회당 90분, 1:3 회당 120분)
-상담, 교육 (자기주도학습 등) 특기개발, 부모면담 등, 체험 격월 1회

[서비스가격 / 기간]
정부지원금 112천원 ~ 126천원, 본인부담금 14 ~ 28천원/12개월

[문의]
복지기획담당자 041-930-3361",,
복지/보건,전체 복지정보,지역사회서비스투자사업,장애인 · 노인을 위한 돌봄여행서비스,"노인을 위한 돌봄여행서비스 지원내용은 뭐야?
장애인을 위한 돌봄여행서비스 지원내용은 뭐야? ","장애인을 위한 돌봄여행서비스 지원내용은 뭐야?
노인을 위한 여행서비스 지원내용은 뭐야?
장애인 여행 서비스 알려줘
노인 여행 하는거 알려줘 ","[장애인 · 노인을 위한 돌봄여행서비스]
관광에 대한 높은 욕구에도 불구하고 신체적 특성으로 인한 활동제약 및 관광인프라 부족으로 양질의 서비스를 받지 못하는 장애인 · 노인을 위한 특화된 전문 돌봄여행 서비스 제공

[지원 대상]
-기준중위소득 140%이하
-가구의 신체활동이 가능한 등록장애인 및 65세이상 노인

[서비스 내용]
-1회(1박2일) / 평생1회
-여행바우처와 중복 신청 불가

[서비스가격 / 기간]
정부지원금 125천원 ~ 155천원, 본인부담금 25천원 / 1회

[문의]
복지기획담당자 041-930-3361",,
복지/보건,전체 복지정보,지역사회서비스투자사업,시각장애인 안마서비스,시각장애인 안마서비스 지원내용은 뭐야?,"시각장애인 일자리 알려줘
시각장애인 안내
시각장애인 한테 안마 받는 서비스
시각장애인 안마 받을 수 있는 지원 내용 알려줘노인 시각 장애인 안마 서비스 안마 서비스
시각 장애인 안마 서비스 알려줘
시각 장애인 안마 서비스 어떻게 할 수 있어?
시각 장애인 안마 서비스 안마 서비스 받고 싶어
시각 장애인 안마 서비스 안마 서비스 알려줘
시각 장애인 안마 서비스 받고 싶어
시각 장애인 안마 서비스 안마 서비스 어떻게 할 수 있어?","[시각장애인 안마서비스]
노인성 질환자의 건강을 증진하고, 일반사업 등에 취업이 곤란한 시각장애에게 일자리제공

[지원 대상]
-기준중위소득 140%이하자
-가구의 근골격계, 신경계, 순환계 질환이 있는 만 60세 이상인자, 지체 및 뇌병변 등록장애인

[서비스 내용]
-월 4회 (주 1회 60분)
-해당질환의 증상개선을 위한 안마, 마시지, 지압 등 수기요업 및 기타 자극요법에 의한 안마서비스

[서비스가격 / 기간]
정부지원금 136,800원, 본인부담금 15,200원

[문의]
복지기획담당자 041-930-3361",,o
복지/보건,전체 복지정보,지역사회서비스투자사업,장애인보조기기렌탈,장애인보조기기렌탈 지원내용은 뭐야? ,"장애인 보조기기 렌탈 사업 알려줘
장애 아동 휠체어 렌탈 사업
특수 장애아동 기기 빌려주는거
장애 아동 휠체어 렌탈 지원장애 아동 장애인 보조기기 렌탈 서비스 보조기기 구매 지원
장애인 보조기기 렌탈 서비스 휠체어 구입 지원 알려줘
뇌병변 장애 아동 장애인 보조기기 렌탈 서비스 보조기기 구매 지원
특수 장애 아동 장애인 보조기기 렌탈 서비스 보조기기 리폼 지원
뇌병변 장애 아동 장애인 보조기기 렌탈 서비스 맞춤형 보조기기 대여
장애 아동 장애인 보조기기 렌탈 서비스 보조기기 리폼 지원
장애인 보조기기 렌탈 서비스 보조기기 리폼 지원 어떻게 할 수 있어?
뇌병변 장애 아동 장애인 보조기기 렌탈 서비스 보조기기 리폼 지원
장애인 보조기기 렌탈 서비스 휠체어 구입 지원 받고 싶어
장애 아동 장애인 보조기기 렌탈 서비스 휠체어 구입 지원
장애인 보조기기 렌탈 서비스 맞춤형 보조기기 대여 어떻게 할 수 있어?
장애인 보조기기 렌탈 서비스 보조기기 구매 지원 받고 싶어
장애인 보조기기 렌탈 서비스 휠체어 구입 지원 어떻게 할 수 있어?
장애인 보조기기 렌탈 서비스 맞춤형 보조기기 대여 받고 싶어
장애인 보조기기 렌탈 서비스 보조기기 리폼 지원 받고 싶어
뇌병변 장애 아동 장애인 보조기기 렌탈 서비스 휠체어 구입 지원
장애인 보조기기 렌탈 서비스 맞춤형 보조기기 대여 알려줘
장애 아동 장애인 보조기기 렌탈 서비스 맞춤형 보조기기 대여
특수 장애 아동 장애인 보조기기 렌탈 서비스 보조기기 구매 지원
장애인 보조기기 렌탈 서비스 보조기기 구매 지원 어떻게 할 수 있어?
장애인 보조기기 렌탈 서비스 받고 싶어
장애인 보조기기 렌탈 서비스 알려줘
장애인 보조기기 렌탈 서비스 어떻게 할 수 있어?
장애인 보조기기 렌탈 서비스 보조기기 구매 지원 알려줘
특수 장애 아동 장애인 보조기기 렌탈 서비스 맞춤형 보조기기 대여
특수 장애 아동 장애인 보조기기 렌탈 서비스 휠체어 구입 지원
장애인 보조기기 렌탈 서비스 보조기기 리폼 지원 알려줘","[장애인보조기기렌탈]
장애아동의 특수 휠체어 구입 및 리폼에 대한 경제적 부담 경감으로 특수장애아동의 정상적 신체발달 지원

[지원 대상]
-만 18세이하의 장애판정을 받은 지체 및 뇌병변 장애 아동 등
※ 소득 기준 없음

[서비스 내용]
-보조기기 대여 및 성장단계별 맞춤지원대상 장애아동의 성장단계에 적합한 맞춤형 보조기기 대여 및 성장 단계에 따른 맞춤지원
-렌탈 12개월, 정기점검 등

[서비스가격 / 기간]
월 120천원 (정부지원금 84 ~ 108천원, 본인부담금 12 ~ 36천원)

[문의]
복지기획담당자 041-930-3361",,o
복지/보건,전체 복지정보,지역사회서비스투자사업,정신건강토탈케어서비스_지원내용,정신건강토탈케어서비스 지원내용은 뭐야? ,"정신질환자 도와주는 서비스 알려줘
정신 질환 관리 서비스 있어?
정신질환자 사회 적응 지원 서비스","[정신건강토탈케어서비스]
정신질환자의 조기 발견과 개입 (생활관리) 을 통하여 입원을 예방하고 지역사회에서 적응하여 취업 및 자립생활을 할 수 있도록 지원

[지원 대상]
-기준중위소득 120%이하자 (정신장애인은 120% 이하)
-정신과 치료가 필요하다는 정신과 의사의 소견서 및 진단서 발급이 가능한 자 (정신과 병원 16일 이상 입원자는 제외)

[서비스 내용]
-월 4회 (주 1회) 상담, 증상 · 약물관리, 일상생활지원, 사회적응 및 취업지원

[서비스가격 / 기간]
월 20만원 (정부지원금 180천원, 본인 부담금 20천원) / 12개월

[문의]
복지기획담당자 041-930-3361",,
복지/보건,전체 복지정보,지역사회서비스투자사업,보행불편노인을 위한 보행보조기렌탈서비스_지원내용,보행불편노인을 위한 보행보조기렌탈서비스 지원내용은 뭐야? ,"노인 보행 보조기 지원사업 알려줘
노인 보조기기 서비스 사업
퇴행성 관절염 노인 보행 보조기 지원
거동 불편한 노인 보조기기 사업","[보행불편노인을 위한 보행보조기렌탈서비스]
심신기능 저하로 자립적 보행이 어려운 노인들에게 보행보조기 지원을 통한 일상생활 수행 편의 제공 및 안전보행으로 신체건강과 다양한 사회활동 참여기회 제공

[지원 대상]
-만 65세 이상 전국 가구 월평균 소득 120%이하 가구의 퇴행성 관절염 등으로
보행이 불편한 노인

[서비스 내용]
-초기상담, 신체능력의 측정 및 평가를 통해 대상자의 신체에 맞는 맞춤형 보행보조기 지원 및 사용자교육, AS 및 수리 서비스 제공

[서비스가격 / 기간]
정부지원금 45천원, 본인부담금 12천원 / 12개월

[문의]
복지기획담당자 041-930-3361",,
복지/보건,전체 복지정보,지역사회서비스투자사업,가사 · 간병 방문지원사업_지원내용,가사 · 간병 방문지원사업 지원내용은 뭐야? ,"가사간병 사업 알려줘
소년 소녀 가정 가사 지원 서비스
장애인 일상 생활 지원 복지 안내해줘
중증장애인 신체 수발 지원해주는 복지","[가사 · 간병 방문지원사업]

[지원 대상]
만65세 미만의 생계·의료·주거·교육급여 수급자, 차상위 계층중
① 1~3급의 장애인 및 중증 질환자
② 소년.소녀가정, 조손가정, 법정보호세대인 한부모 가정의 자녀 또는 손자녀

[서비스 내용]
-신체수발 지원
-신변활동 지원
-가사 지원
-일상생활 지원

[서비스가격 / 기간]
- 생계․의료급여 수급자(기준/월)
24시간:정부지원 235,000원/본인부담 무료
27시간:정부지원 255,150원/본인부담 9,450원
- 주거․교육급여 수급자 및 차상위 계층(기준/월)
24시간:정부지원 217,680원/본인부담 17,520원)
27시간:정부지원 244,890원/본인부담 19,710원)

[문의]
복지기획담당자 041-930-3361",,
복지/보건,전체 복지정보,행복키움지원,행복키움지원_일반,행복키움지원이 뭐에요?,행복키움지원 서비스에 대해 알려줘,"행복키움지원 서비스는 지역사회 공공 · 민간자원의 협력을 토대로 나눔문화를 확산하고 복지, 보건, 고용, 주거, 교육 등 필요한 서비스를 통합적으로 제공하는 맞춤형 복지서비스입니다.",https://www.brcn.go.kr/welfare/sub01_06.do,
복지/보건,전체 복지정보,행복키움지원,행복키움지원_행복키움지원단 시스템,행복키움지원단 시스템이 뭐에요?,행복키움지원 시스템에 대해서 알려줘 ,"[행복키움지원단 시스템]


<IMAGE>
행복키움지원단 시스템
https://www.brcn.go.kr/images/specific/welfare/sub1/sub01_06_img02.gif",https://www.brcn.go.kr/welfare/sub01_06.do,
복지/보건,전체 복지정보,행복키움지원,행복키움지원_서비스 제공 절차,행복키움지원이 서비스 제공 절차를 알려주세요,"행복키움지원 사례관리가구는?
행복키움지원 서비스 연계가구는?
행복키움지원 서비스 처리기한 알려줘","[서비스 제공 절차]
읍 · 면 · 동에서 초기상담 실시 이후 의뢰된 대상자에 대해 모두 욕구조사를 실시하고, 그 결과를 토대로 내부사례회의를 통해 사례관리, 서비스연계가구로 구분 적용합니다.

-사례관리가구 : 1개월 이상의 중장기적 개입이 필요한 가구
-서비스연계가구 : 욕구가 단편적이어서 1개월 미만의 단기적 개입이 가능한 가구
-서비스 처리기한 : 대상자 접수일로부터 30일내 서비스제공계획 수립",https://www.brcn.go.kr/welfare/sub01_06.do,
