대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL),
,,,,의료급여사업_건강생활 유지비 지원내용,의료급여사업 건강생활유지비 지원내용을 알려주세요,"건강생활유지비 지원내용
건강생활유지비가 뭐야","[건강생활유지비]
지원대상 : 의료급여 1종 수급권자
지원내용 : 본인이 외래진료를 받는 경우 본인부담금으로 사용할 수 있도록 비용 일부 지원
지원금액 : 1인당 매달 6천원 (건강보험공단 가상계좌 매월 1일 입금)",https://www.brcn.go.kr/welfare/sub01_04.do,
,,,,의료급여사업_장애인보장구 지원내용,의료급여사업 장애인보장구 지원내용 알려줘,"장애인보장구 지원
장애인보장구 구매 지원","[장애인보장구]
지원대상 : 의료급여수급권자 중 장애인복지법에 등록한 장애인
지원품목 : 의지, 보조기, 보청기, 수동휠체어, 전동스쿠터, 전동휠체어 등
지원금액 : 1종, 2종 (기준액 범위 내에서 구입가 전액)
신청서류 : 보장구처방전 (거주지 동일 시 · 도내 의료급여기관 발급), 보장구급여신청서",https://www.brcn.go.kr/welfare/sub01_04.do,
,,,,의료급여사업_임신 · 출산 진료비 지원내용,의료급여사업 임신 진료비 지원내용 알려줘  ,"의료급여사업 출산 진료비 지원내용 알려줘
임신 진료비 지원받을 수 있는 거 알려줘
출산 할 때 금액 지원","[임신 · 출산 진료비]
지원대상 : 의료급여수급권자 중 임신이 확인된 자
지원내용 : 보장기관에서 임신․출산 진료비 지원을 결정한 날부터 ~ 출산 예정일 + 60일
지원금액 : 1,2종 구분 없이 50만원 (기간 내에 사용하지 못한 잔액은 소멸)
신청서류 : 의료급여 임신·출산 진료비 지원 (변경) 신청서 1부, 임신사실증명서 (의사 소견서) 1부",https://www.brcn.go.kr/welfare/sub01_04.do,
,,,,의료급여사업_노인틀니 지원내용,의료급여사업 노인 틀니 지원내용 알려줘,"노인들 틀니할때 지원받을 수 있는거 알려줘
틀니 지원받으려면 어떻게 해야돼","[노인틀니지원]
지원대상 : 만70세 이상 의료급여 수급권자
적용대상 : 레진상, 금속상 완전틀니, 클라스프 부분틀니,사전 임시틀니, 사후 유지관리
적용횟수 : 7년 주기로 1회 적용, 중복급여 금지
지원금액 : 의료급여비용 총액의 1종수급권자는 80%, 2종수급권자는 70%
신청서류 : 의료급여 틀니 대상자 등록 신청서",https://www.brcn.go.kr/welfare/sub01_04.do,
,,,,의료급여사업_의료급여 제한 사유,의료급여사업 중 의료급여 제한 사유 알려주세요,의료급여사업 중 의료급여 제한 사유 알고싶어요 ,"[의료급여 제한 사유]
교통사고 (오토바이, 경운기, 자동차 등), 산업재해, 폭행, 구타, 본인의 고의 또는 중대한 과실 (자살시도) 등으로 인한 병원진료에 대해서는
의료급여 적용이 제한되며 의료급여증 대여(타인), 의약품 판매행위등 적발시에는 급여중지 및 법적 처벌을 받게됩니다.

[문의]
자활의료담당자 041-930-3367, 041-930-3366, 041-930-3369",,
,,,,지역사회서비스투자사업_일반,지역사회서비스투자사업에 대해 알려줘,지역사회서비스 투자사업에 대해 알고싶어요  ,"[사회서비스바우처]
노인, 장애인, 아동 등 사회서비스를 필요로 하는 사람들에게 일종의 이용권(카드)을 발급하여 서비스를 받을수 있도록 하는 제도입니다.

[사회서비스바우처 종류]
-아동 · 청소년 심리지원서비스 (아동심리케어)
-아동비전형성지원 서비스
-장애인 · 노인을 위한 돌봄여행서비스
-시각장애인 안마서비스
-장애인보조기기렌탈
-정신건강토탈케어서비스
-보행불편노인을 위한 보행보조기렌탈서비스
-가사 · 간병 방문지원사업",,
,,,,지역사회서비스투자사업_신청절차,지역사회서비스투자사업 신청절차를 알려주세요,"지역사회서비스 신청권자는 누구에요?
지역사회서비스 신청기간은 언제에요?
지역사회서비스 신청방법 알려줘","[신청권자]
사회복지서비스를 필요로 하는 자와 그 친족 그 밖의 관계인

[신청기간]
연중 (수시)
 ※ 예산 소진시 조기 마감될수 있습니다.

[신청방법]
거주지 읍 · 면 · 동 주민센터 직접방문 신청

[제출서류]
관련신청서 및 안내동의서 등 관련 증빙서류",,
,,,,아동심리케어 서비스_지원내용,아동심리케어 서비스 지원내용은 뭐야?,"아동심리케어 서비스 지원내용은 뭐야?
ADHD 아동 지원 서비스 있어?
아동심리케어 서비스 알려줘
청소년 심리 지원 서비스 알려줘
문제 행동 아이 심리 케어 서비스 알려줘","[아동 · 청소년 심리지원서비스 (아동심리케어)]
문제행동(ADHD)의 조기발견과 개입을 통하여, 문제행동을 감소시키고, 정서행동장애로의 발전을 막아 정상적 성장 지원

[지원 대상]
-기준중위소득 140%이하
-만18세이하
-비 장애 문제행동아동

[서비스 내용]
-월 4회 (주 1회 50분)
-문제행동아동에 대한 심리상담, 음악, 미술,놀이, 언어치료

[서비스가격 / 기간]
정부지원금 112 ~ 144천원, 본인부담금 16 ~ 48천원/12개월

[문의]
복지기획담당자 041-930-3361",,
,,,,아동비전형성지원 서비스_지원내용,아동비전형성지원 서비스 지원내용은 뭐야? ,"아이들 비전 만들기 지원 서비스 알려줘
아동 비전형성 지원 서비스에 대해 궁금합니다.","[아동비전형성지원 서비스]
아동시기의 체계적인 교육․ 문화활동 및 자기주도향상 프로그램을 통해 긍정적인식과 미래비전을 형성하고, 책임감 있는 사회구성원으로 성장하도록 지원

[지원 대상]
-기준중위소득 120%이하
-만7세 ~ 만12세

[서비스 내용]
-월 4회 (1:1 회당 60분, 1:2 회당 90분, 1:3 회당 120분)
-상담, 교육 (자기주도학습 등) 특기개발, 부모면담 등, 체험 격월 1회

[서비스가격 / 기간]
정부지원금 112천원 ~ 126천원, 본인부담금 14 ~ 28천원/12개월

[문의]
복지기획담당자 041-930-3361",,
,,,,장애인 · 노인을 위한 돌봄여행서비스_지원내용,장애인 · 노인을 위한 돌봄여행서비스 지원내용은 뭐야? ,"장애인을 위한 돌봄여행서비스 지원내용은 뭐야?
노인을 위한 여행서비스 지원내용은 뭐야?
장애인 여행 서비스 알려줘
노인 여행 하는거 알려줘 ","[장애인 · 노인을 위한 돌봄여행서비스]
관광에 대한 높은 욕구에도 불구하고 신체적 특성으로 인한 활동제약 및 관광인프라 부족으로 양질의 서비스를 받지 못하는 장애인 · 노인을 위한 특화된 전문 돌봄여행 서비스 제공

[지원 대상]
-기준중위소득 140%이하
-가구의 신체활동이 가능한 등록장애인 및 65세이상 노인

[서비스 내용]
-1회(1박2일) / 평생1회
-여행바우처와 중복 신청 불가

[서비스가격 / 기간]
정부지원금 125천원 ~ 155천원, 본인부담금 25천원 / 1회

[문의]
복지기획담당자 041-930-3361",,
,,,,시각장애인 안마서비스_지원내용,시각장애인 안마서비스 지원내용은 뭐야?,"시각장애인 일자리 알려줘
시각장애인 안내
시각장애인 한테 안마 받는 서비스","[시각장애인 안마서비스]
노인성 질환자의 건강을 증진하고, 일반사업 등에 취업이 곤란한 시각장애에게 일자리제공

[지원 대상]
-기준중위소득 140%이하자
-가구의 근골격계, 신경계, 순환계 질환이 있는 만 60세 이상인자, 지체 및 뇌병변 등록장애인

[서비스 내용]
-월 4회 (주 1회 60분)
-해당질환의 증상개선을 위한 안마, 마시지, 지압 등 수기요업 및 기타 자극요법에 의한 안마서비스

[서비스가격 / 기간]
정부지원금 136,800원, 본인부담금 15,200원

[문의]
복지기획담당자 041-930-3361",,
,,,,장애인보조기기렌탈_지원내용,장애인보조기기렌탈 지원내용은 뭐야? ,"장애인 보조기기 렌탈 사업 알려줘
장애 아동 휠체어 렌탈 사업
특수 장애아동 기기 빌려주는거","[장애인보조기기렌탈]
장애아동의 특수 휠체어 구입 및 리폼에 대한 경제적 부담 경감으로 특수장애아동의 정상적 신체발달 지원

[지원 대상]
-만 18세이하의 장애판정을 받은 지체 및 뇌병변 장애 아동 등
※ 소득 기준 없음

[서비스 내용]
-보조기기 대여 및 성장단계별 맞춤지원대상 장애아동의 성장단계에 적합한 맞춤형 보조기기 대여 및 성장 단계에 따른 맞춤지원
-렌탈 12개월, 정기점검 등

[서비스가격 / 기간]
월 120천원 (정부지원금 84 ~ 108천원, 본인부담금 12 ~ 36천원)

[문의]
복지기획담당자 041-930-3361",,
,,,,정신건강토탈케어서비스_지원내용,정신건강토탈케어서비스 지원내용은 뭐야? ,"정신질환자 도와주는 서비스 알려줘
정신 질환 상담 받고싶어","[정신건강토탈케어서비스]
정신질환자의 조기 발견과 개입 (생활관리) 을 통하여 입원을 예방하고 지역사회에서 적응하여 취업 및 자립생활을 할 수 있도록 지원

[지원 대상]
-기준중위소득 120%이하자 (정신장애인은 120% 이하)
-정신과 치료가 필요하다는 정신과 의사의 소견서 및 진단서 발급이 가능한 자 (정신과 병원 16일 이상 입원자는 제외)

[서비스 내용]
-월 4회 (주 1회) 상담, 증상 · 약물관리, 일상생활지원, 사회적응 및 취업지원

[서비스가격 / 기간]
월 20만원 (정부지원금 180천원, 본인 부담금 20천원) / 12개월

[문의]
복지기획담당자 041-930-3361",,
,,,,보행불편노인을 위한 보행보조기렌탈서비스_지원내용,보행불편노인을 위한 보행보조기렌탈서비스 지원내용은 뭐야? ,"노인 보행 보조기 지원사업 알려줘
노인 보조기기 서비스 사업 ","[보행불편노인을 위한 보행보조기렌탈서비스]
심신기능 저하로 자립적 보행이 어려운 노인들에게 보행보조기 지원을 통한 일상생활 수행 편의 제공 및 안전보행으로 신체건강과 다양한 사회활동 참여기회 제공

[지원 대상]
-만 65세 이상 전국 가구 월평균 소득 120%이하 가구의 퇴행성 관절염 등으로
보행이 불편한 노인

[서비스 내용]
-초기상담, 신체능력의 측정 및 평가를 통해 대상자의 신체에 맞는 맞춤형 보행보조기 지원 및 사용자교육, AS 및 수리 서비스 제공

[서비스가격 / 기간]
정부지원금 45천원, 본인부담금 12천원 / 12개월

[문의]
복지기획담당자 041-930-3361",,
,,,,가사 · 간병 방문지원사업_지원내용,가사 · 간병 방문지원사업 지원내용은 뭐야? ,가사간병 사업 알려줘,"[가사 · 간병 방문지원사업]

[지원 대상]
만65세 미만의 생계·의료·주거·교육급여 수급자, 차상위 계층중
① 1~3급의 장애인 및 중증 질환자
② 소년.소녀가정, 조손가정, 법정보호세대인 한부모 가정의 자녀 또는 손자녀

[서비스 내용]
-신체수발 지원
-신변활동 지원
-가사 지원
-일상생활 지원

[서비스가격 / 기간]
- 생계․의료급여 수급자(기준/월)
24시간:정부지원 235,000원/본인부담 무료
27시간:정부지원 255,150원/본인부담 9,450원
- 주거․교육급여 수급자 및 차상위 계층(기준/월)
24시간:정부지원 217,680원/본인부담 17,520원)
27시간:정부지원 244,890원/본인부담 19,710원)

[문의]
복지기획담당자 041-930-3361",,
,,,,행복키움지원_일반,행복키움지원이 뭐에요?,행복키움지원 서비스에 대해 알려줘,"행복키움지원 서비스는 지역사회 공공 · 민간자원의 협력을 토대로 나눔문화를 확산하고 복지, 보건, 고용, 주거, 교육 등 필요한 서비스를 통합적으로 제공하는 맞춤형 복지서비스입니다.",https://www.brcn.go.kr/welfare/sub01_06.do,
,,,,행복키움지원_행복키움지원단 시스템,행복키움지원단 시스템이 뭐에요?,행복키움지원 시스템에 대해서 알려줘 ,"[행복키움지원단 시스템]


<IMAGE>
행복키움지원단 시스템
https://www.brcn.go.kr/images/specific/welfare/sub1/sub01_06_img02.gif",https://www.brcn.go.kr/welfare/sub01_06.do,
,,,,행복키움지원_서비스 제공 절차,행복키움지원이 서비스 제공 절차를 알려주세요,"행복키움지원 사례관리가구는?
행복키움지원 서비스 연계가구는?
행복키움지원 서비스 처리기한 알려줘","[서비스 제공 절차]
읍 · 면 · 동에서 초기상담 실시 이후 의뢰된 대상자에 대해 모두 욕구조사를 실시하고, 그 결과를 토대로 내부사례회의를 통해 사례관리, 서비스연계가구로 구분 적용합니다.

-사례관리가구 : 1개월 이상의 중장기적 개입이 필요한 가구
-서비스연계가구 : 욕구가 단편적이어서 1개월 미만의 단기적 개입이 가능한 가구
-서비스 처리기한 : 대상자 접수일로부터 30일내 서비스제공계획 수립",https://www.brcn.go.kr/welfare/sub01_06.do,
,,,,보훈_참전명예수당 및 생일축하금,보훈 참전명예수당 및 생일축하금에 대해 알고싶어,"보훈 참전명예수당 신청방법에 대해 알려줘
보훈 생일축하금 지원대상은?
참전 명예 수당 장제보조비 지급시기는?
보훈 참전명예수당 및 생일축하금 지원금액은?","[신청방법]
거주지 읍 · 면 · 동 사무소

[지원대상]
 「참전유공자예우 및 단체설립에 관한 법률」 제2조 제2호 및 4호에 따라 국가보훈처에 등록된 참전 유공자로 현재 보령시에 주소를 둔 사람

[지급시기]
신청이 있는 달부터 매월 말일 지급

[지원금액]
월 15만원 내 지급(참전명예수당 10만원, 생일축하금 5만원)
※ 참전유공자 사망시 장제보조비 15만원 지급",https://www.brcn.go.kr/welfare/sub01_07.do,
,,,,보훈_보훈명예수당,보훈명예수당에 대해 알려줘,"보훈명예수당 신청방법 알려줘
보훈명예수당 지원대상은?
보훈명예수당 지급시기는?
보훈명예수당 지원금액은?","[신청방법]
거주지 읍 · 면 · 동 사무소

[지원대상]
-국가유공자 등 예우 및 지원에 관한 법률 제4조의제1항제1호부터 제3호까지에 해당하는 순국선열, 애국지사, 전몰군경 및 유족 (국가보훈처에서 발급한 유족증 소지자) 로 신청일 현재 보령시에 주민등록이 되어있는 자.
-단, 현 유족증 소지자가 사망 시 승계받은 유족 1명에게만 수당이 지급되며 다른 유족에게 이전되지 아니함

[지급시기]
신청이 있는 달부터 매월 말일 지급

[지원금액]
월 5만원",,
,,,,보훈_보훈단체현황,보훈단체 현황에 대해 알려줘,"보훈 단체현황은?
보훈 단체 알려줘","

<IMAGE>
보훈단체현황
https://chatbot1.blob.core.windows.net/%24web/32.png
",https://www.brcn.go.kr/welfare/sub01_07.do,
,,,,노인복지지원_ 일반(설명+지급대상),노인복지지원에 대해서 알려줘,"노인복지지원이 뭐에요?
기초연금제도가 뭐에요?
노인복지지원 지급대상은 뭐에요?","[기초연금제도]
만 65세 이상 노인 중 소득과 재산이 적은 70%의 노인에게 매달 일정액의 연금을 지급하여 안정적인 소득기반을 제공함으로써 노인의 생활 안정을 지원하고 복지를 증진 (2014년 5월 20일 기초연금법 제정)

[지급대상]
-만65세 이상
-소득 · 재산 조사 결과 소득인정액이 선정기준액 이하인 어르신
※ 소득인정액 : 월 소득평가액 + 재산의 소득환산액
※ 2018년 선정기준액 : 단독 131만 / 부부 209.6만",,
,,,,노인복지지원_연금액선정 및급여기준,노인복지지원 연금액 선정에 대해 알려주세요,"노인복지지원 연금액 선정이 뭐에요?
노인복지지원 연금액 지급 알려주세요
노인복지지원 연금액 선정 및 급여기준을 알려주세요","[연금액]
-단독가구 (1인) : 2 ~ 20만원 차등 지급
-부부가구 (2인) : 4 ~ 32만원 차등 지급
※신청자의 소득인정액과 국민연금의 유형에 따라 지급액을 결정
※신청에 근거하여 공적자료에 의한 소득재산 조사를 거쳐야 정확한 기초연금 지급액을 알 수 있음

[선정 및 급여 기준]
-대상자 선정 (소득인정액 산정) 은 가구단위 (부부합산) 로 급여 지급
-기초연금액 산정은 개인단위",,
,,,,"
노인복지지원_신청방법,신청기간,구비서류 기타 문의 및 안내",노인복지지원 신청방법에 대해서 알려주세요,"노인복지지원 신청방법은?
노인복지지원 신청은 누가하나요?
노인복지지원 신청기간은?
노인복지지원 구비서류는?
노인복지지원 문의번호 알려주세요","[신청방법]
방문신청 : 주소지 동 주민센터 또는 국민연금공단지사
온라인신청 : 복지로 (http://online.bokjiro.go.kr) 로 집에서 신청
※온라인 신청 시에는 본인, 배우자, 동일주소 자녀가 신청할 수 있으며 신청자 및 배우자, 대리신청자의 공인인증서 필요

[신청기간]
만65세 (1953년생) 생일이 속하는 달의 1개월 전부터 신청 · 접수 가능

[구비서류]
신분증, 연금 지급대상자 명의 통장, 신청서, 금융정보제공동의서, 소득재산신고서 등 (대리 신청시 대리인의 신분증, 위임장 등을 추가로 제출)

[기타 문의 및 안내]
사회복지과 노인복지 담당 041-930-3317 기초연금제도 연금액

<LINK>
복지로 홈페이지
http://online.bokjiro.go.kr
복지로 온라인 신청",,
,,,,노인복지시설,노인복지시설에 대해 알려줘,"노인 요양시설 알려줘
보령 내에 있는 요양원 알려줘
노인 생활 시설 알려줘","[노인요양시설 및 요양공동생활가정]


<IMAGE>
노인복지시설
https://chatbot1.blob.core.windows.net/%24web/36.png
",,
,,,,복지용구제공 사업소,복지용구제공 사업소 알려줘 ,"노인 복지용구 제공하는  곳 알려줘
복지용구 제공 기관 어디있어","[복지용구제공사업소]


<IMAGE>
복지용구제공사업소
https://chatbot1.blob.core.windows.net/%24web/37.png

",,
,,,,방문간호,노인 방문간호 하는 곳 알려줘 ,"방문 간호 시설 어디야
방문 간호 복지시설","[방문간호]


<IMAGE>
방문간호
https://chatbot1.blob.core.windows.net/%24web/38.png
",,
,,,,방문요양,방문 요양 시설 알려줘 ,"방문 요양 센터 어디야
방문 요양 해주는 곳","[방문요양]


<IMAGE>
방문요양
https://chatbot1.blob.core.windows.net/%24web/39-1.png


<IMAGE>
방문요양
https://chatbot1.blob.core.windows.net/%24web/39-2.png",,
,,,,주야간 보호,노인 주야간 보호 시설 알려줘,"노인 주간 보호 센터
노인 야간 보호 센터
노인 주야간으로 돌봐주는 곳 ","[주야간보호]


<IMAGE>
주야간보호
https://chatbot1.blob.core.windows.net/%24web/40.png
",,
,,,,방문목욕,노인 방문목욕 시설 알려줘,"노인 방문목욕 해주는 곳
노인 방문 목욕 센터","[방문목욕]


<IMAGE>
방문목욕
https://chatbot1.blob.core.windows.net/%24web/41-1.png


<IMAGE>
방문목욕
https://chatbot1.blob.core.windows.net/%24web/41-2.png
",,
,,,,노인사회활동지원_일반,노인사회활동지원에 대해 알고싶어요,"노인사회활동지원 신청 대상은?
노인사회활동지원 모집방법은?
노인사회활동지원근무기간 및 여건은?","[신청대상]
만65세 이상 기초연금 수급권자로 근로 능력 있는 어르신

[모집방법]
수행기관별 모집 (2월중), 인원부족시 수시모집

[근무 기간 및 여건]
9개월 (3 ~ 11월), 20만원, 월 30 ~ 35시간, 주 2 ~ 3회 근무",,
,,,,노인사회활동지원_사업내용 및 사업효과,노인사회활동지원 사업내용 및 사업효과가 알고싶어요,"노인사회활동지원 사업내용 알려줘
노인사회활동지원  사업효과 알려줘","[공익활동]
-전국형 (4개 프로그램) : 저소득 재가노인의 안정적 생활유지 서비스 제공 (주요사업 : 어르신 안부묻기, 말벗서비스, 도시락배달서비스 등)
-지역형 : 지역특성에 맞게 필요한 공공사업 발굴 및 사업추진 (주요사업 : 아동안전보호, 초등학교 급식도우미, 지역사회 환경개선, 어르신강사파견, 노인확대예방, 아동 · 청소년 보호지원 등 )

[취업활동]
-인력파견형 : 수요처와 연계하여, 필요한 인력 파견 (주요사업 : 잔디식재 등 인력파견 등)

[창업활동]
-공동작업형 : 영농사업으로 작물, 화훼재배를 통한 수익창출 (주요사업 : 황금분재원, 지역영농사업 등)
-제조판매형 : 제조판매를 통한 수익창출 (주요사업 : 누룽지 판매 )

[사업효과]
노인의 능력과 적성에 맞는 사회적 일자리를 창출하여 노인의 건강유지, 사회참여 확대, 소득보장 등 노인복지향상으로 고령사회에 적극 대비",,
,,,여성/가족,노인사회활동지원_사업수행기관,노인사회활동지원 사업수행기관은 뭐야?,노인사회활동지원_사업수행기관 번호 알려줘,"[사업수행기관]
-보령시 사회복지과 (읍 ‧ 면 ‧ 동)
-대한노인회보령시지회 (041-931-2968)
-보령노인종합복지관 (041-931-7677)
-보령효나눔센터 (041-931-8491)",,
,,,,무연분묘 개장공고,무연분묘 개장공고 알려줘,무연분묘 공고사항 알려줘,"[무연분묘 공고]
무연분묘 공고는 아래 URL에서 확인 가능합니다.
<LINK>
무연분묘 공고
https://www.brcn.go.kr/cop/bbs/BBSMSTR_000000000682/selectBoardList.do
무연분묘 공고 URL",,
